,Category,URL,Description
26,Education,k12.com,"K12 | Online Public School, Online High School, Online Private School, Homeschooling, and Online Courses options - K12 is the number one choice in K-12 online education programs in America. K12 is the trusted provider of online learning for many tuition-free, virtual public schools, as well as home"
27,Education,berkeley.edu,"University of California, Berkeley - University of California, Berkeley home page. Gateway to information on studying, teaching, research and public service at UC Berkeley, flagship campus of the University of California system."
28,Education,utexas.edu,Home | The University of Texas at Austin
29,Education,mentalfloss.com,"Random, Interesting, Amazing Facts - Fun Quizzes and Trivia | Mental Floss - Test your knowledge with amazing and interesting facts, trivia, quizzes, and brain teaser games on MentalFloss.com."
30,Education,umich.edu,"University of Michigan - University of Michigan is one of the top universities of the world, a diverse public institution of higher learning, fostering excellence in research. U-M provides outstanding undergraduate, graduate and professional education, serving the local, regional, national and inte"
31,Education,yourdictionary.com,"Dictionary definitions you can understand - YourDictionary - The easy to understand dictionary with example sentences, famous quotes and audio pronunciations. Includes: thesaurus, business dictionary, computer dictionary, medical dictionary and more."
32,Education,si.edu,"Smithsonian - The world's largest museum and research complex, with 19 museums, 9 research centers and more than 140 affiliate museums around the world."
33,Education,spanishdict.com,"SpanishDict | English to Spanish Translation, Dictionary and Translator | Diccionario y traductor inglés español - Free Spanish translation website. Effective, fast, and easy. Use our English to Spanish dictionary and Spanish translator to translate over 1,000,000 words and phrases from Spanish t"
34,Education,mit.edu,MIT - Massachusetts Institute of Technology - MIT is devoted to the advancement of knowledge and education of students in areas that contribute to or prosper in an environment of science and technology.
35,Education,britannica.com,"Britannica Online Encyclopedia - Explore the updated online encyclopedia from Encyclopaedia Britannica with hundreds of thousands of articles, biographies, videos, images, and web sites."
36,Education,coolmath.com,"Cool Math - free online cool math lessons, cool math games & apps, fun math activities, pre-algebra, algebra, precalculus - Cool Math has free online cool math lessons, cool math games and fun math activities.  Really clear math lessons (pre-algebra, algebra, precalculus), cool math games, online g"
37,Education,infoplease.com,"Infoplease: Encyclopedia, Almanac, Atlas, Biographies, Dictionary, Thesaurus. Free online reference, research & homework help. — Infoplease.com - Infoplease.com, a free, authoritative, and respected reference for Internet users, provides a comprehensive encyclopedia, almanac, atlas, dicti"
38,Education,columbia.edu,Columbia University in the City of New York
39,Education,usc.edu,"University of Southern California - The University of Southern California is one of the world's leading private research universities, located in the heart of Los Angeles. "
40,Education,cornell.edu,"Cornell University - Cornell University contains seven undergraduate colleges plus the College of Veterinary Medicine, the Law School, the Samuel Curtis Johnson Graduate School of Management, the Weill Cornell Medical College in New York City and Doha, Qatar, and the 93 fields of study in the Gradu"
41,Education,purdue.edu,"Welcome to Purdue University - Purdue University is a major research institution known for discoveries in science, technology, engineering, math and beyond. Founded in 1869 in West Lafayette, Indiana, the University proudly serves its state as well as the nation and the world. More than 39,000 stud"
42,Education,searchquotes.com,"Quotes and Sayings - Search Quotes - Best collection of famous quotes and sayings on the web! Quotes from famous authors, movies and people. Amazing quotes to bring inspiration, personal growth, love and happiness to your everyday life."
43,Education,vt.edu,"Virginia Tech | Invent the Future - Virginia Polytechnic Institute and State University (Virginia Tech) is a public land-grant university serving the Commonwealth of Virginia, the nation, and the world community. The discovery and dissemination of new knowledge are central to its mission. Through i"
44,Education,rosettastone.com,"Official Rosetta Stone® - Learn a Language Online - Learn Spanish - Learn Spanish, French & more with Rosetta Stone®, the #1 online language-learning software. Learn English, Italian, German & more with our language program."
45,Education,acronymfinder.com,"Abbreviations and acronyms dictionary: Find definitions for over 4,219,000 abbreviations, acronyms, and initialisms - Acronym Finder: The Acronym Finder is a searchable database of over 4 million acronyms, abbreviations and meanings. Covers: common acronyms, computers, science, technology, governme"
46,Education,wisc.edu,University of Wisconsin–Madison
47,Education,coursera.org,Coursera.org
48,Education,nyu.edu,New York University
49,Education,instructure.com,"Home | Canvas by Instructure - Canvas is the new, open-source learning management system that's revolutionizing the way we educate. Easy to learn, easy to use. Sign up for a free trial today!"
50,Education,washington.edu,University of Washington
51,Education,udacity.com,Advance Your Education With Free College Courses Online - Udacity - Discover free online classes from top instructors and industry experts. Take courses at your own pace. See what we have to offer.
52,Education,metmuseum.org,The Metropolitan Museum of Art - Home  
53,Education,education.com,"Education.com | An Education & Child Development Site for Parents | Parenting & Educational Resource - Education.com provides activities, worksheets, videos, expert advice and a school directory to give parents information and ideas to help kids reach their full potential and make learning fun."
54,Education,psu.edu,"Penn State - A public research university serving Pennsylvania and the global community - Penn State Homepage, Penn State"
55,Education,spellingcity.com,Spelling & Vocabulary Website: SpellingCity - Teaching spelling and vocabulary is easy with VocabularySpellingCity! Students can study and learn their word lists using vocabulary and spelling learning activities and games. Students can take final or practice spelling and vocabulary tests right 
56,Education,osu.edu,"Welcome - The Ohio State University - Ohio State is one of the largest universities in the nation. It's also home to a diverse group of the best and brightest people in the world: dedicated faculty, passionate students, and innovative researchers who make Ohio State one of the world's tru"
57,Education,ncsu.edu,"North Carolina State University | Tradition and Transformation - Learn more about North Carolina State University, located in Raleigh, N.C., and consistently recognized as one of the nation's top public universities."
58,Education,fullsail.edu,"Full Sail University: Campus and Online Degrees - Full Sail University is an Award-Winning School for Entertainment Media that offers an exceptional education in both on-campus and online associates, bachelors, and masters degree programs."
59,Education,ucla.edu,"UCLA - UCLA (University of California, Los Angeles) is the largest UC campus in terms of enrollment, and one of the few public research universities located in a major city."
60,Education,yale.edu,"Yale University - Yale University comprises three major academic components: Yale College (the undergraduate program), the Graduate School of Arts and Sciences, and the professional schools."
61,Education,ufl.edu,University of Florida
62,Education,bu.edu,Boston University - Boston University is a leading private research institution with two primary campuses in the heart of Boston and programs around the world.
63,Education,mathsisfun.com,"Math is Fun - Maths Resources - Math explained in easy language, plus puzzles, games, quizzes, worksheets and a forum. For K-12 kids, teachers and parents."
64,Education,edline.net,Edline
65,Education,wiktionary.org,Wiktionary - Wiktionary.
66,Education,shmoop.com,"Shmoop: Homework Help, Teacher Resources, Test Prep - Rollicking homework help, teacher resources, and online test prep. Homework help lovingly written by PhD students from Stanford, Harvard, Berkeley"
67,Education,forvo.com,"Forvo: the pronunciation guide. All the words in the world pronounced by native speakers - Forvo: the largest word pronunciation dictionary in the world, now with translations. All the words in all the languages pronounced by native speakers"
68,Education,teacherspayteachers.com,"TeachersPayTeachers.com - An Open Marketplace for Original Lesson Plans and Other Teaching Resources - TeachersPayTeachers.com -- 300,000+ free and priced teaching resources created by teachers for download including lesson plans, unit plans, novel studies, worksheets, printables, PowerPoint Presen"
69,Education,craftsy.com,"Crafting Classes, Patterns & Inspiration | Craftsy: Learn It. Make It. - Join Craftsy, a community of passionate crafters featuring online classes about all your favorite crafts including quilting, sewing & cake decorating."
70,Education,chronicle.com,Home - The Chronicle of Higher Education
71,Education,asu.edu,"Arizona State University - Arizona State University in Metro Phoenix, Arizona"
72,Education,thinkexist.com,"Find the famous quotes you need, ThinkExist.com Quotations. - ThinkExist.com Quotations is your source for famous quotes from thousands of famous people. Search or browse more than 300,000 quotations, subscribe to the popular Quote of the Day."
73,Education,quotationspage.com,"Quotes and Famous Sayings - The Quotations Page - Your source for quotations from famous people and literature. Search or browse over 27,000 quotations from thousands of authors. Includes the popular Quotes of the Day, Motivational Quotes of the Day, Quote Search, and Random Quotations pages. "
74,Education,discoveryeducation.com,"Welcome to Discovery Education | Discovery Education                   - Powered by the number 1 non-fiction media brand in the world, Discovery Education transforms classrooms and inspires teachers with engaging content and services that measure and improve student achievement. "
75,Education,webopedia.com,Webopedia: Online Computer Dictionary for Computer and Internet Terms and Definitions - An online computer dictionary and internet search engine for internet terms and technical support.
76,Education,colorado.edu,University of Colorado Boulder
77,Education,uga.edu,"University Of Georgia - The University of Georgia, a land-grant and sea-grant university with state-wide commitments and responsibilities, is Georgia's flagship institution of higher education. It is also the state's oldest, most comprehensive and most diversified institution of higher education."
78,Education,enotes.com,"Study Guides, Lesson Plans, Homework Help, Answers & More - enotes.com - Enotes.com has study guides, lesson plans, quizzes with a vibrant community of knowledgeable teachers and students to help you with almost any subject."
79,Education,usingenglish.com,"English Language (ESL) Learning Online - UsingEnglish.com - Resources to learn the English language for ESL, EFL, ESOL, and EAP students and teachers. Browse our Glossary of Terms, join our busy forums, download our free language software, read our articles and teacher handouts, and find useful lin"
80,Education,msu.edu,"Michigan State University. Est. 1855. East Lansing, Michigan USA. - Spartans discover solutions for the world's most challenging problems—from alternative energy to the environment, from health to education. Spartans Will."
81,Education,busuu.com,Busuu - Learn languages for free online - busuu.com is a free online community for learning languages. Connect for free with native speakers worldwide. Enhance your language learning with our online languages courses.
82,Education,funtrivia.com,Fun Trivia Quizzes - World's Largest Trivia and Quiz Site! - The world's largest and most popular trivia website with over one million trivia questions and quizzes.
83,Education,wiziq.com,"WizIQ | Making Online Teaching & Learning Easier and Affordable - WizIQ’s easy-to-use online teaching and learning solutions are being used by more than 150,000 teachers/trainers, 5000 organizations, and 2 million learners."
84,Education,jhu.edu,"Johns Hopkins University - The web site of The Johns Hopkins University, a world-class university in Baltimore, Maryland, offering undergraduate and graduate degrees."
85,Education,upenn.edu,"Penn: University of Pennsylvania - The University of Pennsylvania is one of the oldest universities in America and, as a member of the Ivy League, one of the most prestigious institutions of higher learning in all the world."
86,Education,virginia.edu,University of Virginia
87,Education,ets.org,ETS Home
88,Education,engrade.com,Engrade
89,Education,greatschools.net,"GreatSchools - Public and Private School Ratings, Reviews and Parent Community - Compare K-12 school ratings nationwide to find the best schools. View parent ratings, reviews and test scores and choose the right preschool, elementary, middle or high school for public or private education."
90,Education,udemy.com,Udemy - Online Courses from the World's Experts
91,Education,java2s.com,Programming tutorials and source code examples  -  Programming tutorials and source code examples 
92,Education,proprofs.com,ProProfs: Knowledge Sharing Tools & Free Online Education
93,Education,salliemae.com,"Private Student Loans, Banking and Insurance - Sallie Mae   - Apply for private student loans at SallieMae.com. Sallie Mae offers student loans, banking and insurance products and 529 plans. Visit Sallie Mae to login to your Sallie Mae account."
94,Education,oxforddictionaries.com,"Oxford Dictionaries Online - Free online World and American English dictionary with puzzles & games, tips & guidance about better writing, spelling, grammar and other resources for children and schools by Oxford Dictionaries Online"
95,Education,liberty.edu,"Liberty University Christian College Education - Since 1971, Liberty Christian University has been Training Champions for Christ through Christian Education. Liberty is the Nation's Largest, Private, Non-Profit Christian College and University"
96,Education,northwestern.edu,Northwestern University
97,Education,nd.edu,"University of Notre Dame - The University of Notre Dame is an independent, national Catholic university located in Notre Dame, Ind., adjacent to the city of South Bend and approximately 90 miles east of Chicago."
98,Education,rutgers.edu,"Welcome | Rutgers, The State University of New Jersey - Rutgers, The State University of New Jersey, is dedicated to advanced learning, creating knowledge and contributing to the growing vitality of the state. This is your gateway to the rich variety of web resources available at one of the nation'"
99,Education,arizona.edu,"The University of Arizona, Tucson, Arizona - The University of Arizona in Tucson, Arizona"
100,Education,edublogs.org,"Edublogs – education blogs for teachers, students and schools"
101,Education,unc.edu,University of North Carolina at Chapel Hill
102,Education,desire2learn.com,More than an LMS - Desire2Learn - Transforming Learning
103,Education,umd.edu,The University of Maryland 
104,Education,macmillandictionary.com,Macmillan Dictionary and Thesaurus: Free English Dictionary Online - The Free Online English Dictionary from Macmillan Publishers.
105,Education,studyisland.com,"Leading Academic Provider of Standards-Based Online Learning Solutions | Study Island - Study Island is a leading academic software provider of standards-based assessment, instruction, and test preparation e-learning programs."
106,Education,phrases.org.uk,"The meanings and origins of sayings and phrases - An archive of the meanings and origins of thousands of phrases, sayings, idioms and expressions."
107,Education,vanderbilt.edu,"Vanderbilt University | Nashville, Tennessee - Vanderbilt University, located in Nashville, Tennessee, is a private research university and medical center offering a full-range of undergraduate, graduate and professional degrees."
108,Education,ucf.edu,"University of Central Florida - The University of Central Florida is the nation's second-largest university. With 12 colleges located in Orlando, Florida, it serves over 58,000 students."
109,Education,hawaii.edu,University of Hawaii System - University of Hawaii System
110,Education,cuny.edu,"Welcome to CUNY -     The City University of New York - Welcome to CUNY. Welcome to the nation's leading urban public university serving more than 480,000 students at 23 colleges and institutions in New York City. The University’s 23 institutions include 11 senior colleges, six community colleges"
111,Education,tamu.edu,"Texas A&M University | College Station, TX - One of Texas's Tier-1 universities, and its first public institution of higher education, this research-intensive university with 10 colleges and a nationally recognized faculty was ranked 3rd by U.S. News and World Report as a best value."
112,Education,quotegarden.com,"The Quote Garden - Quotes, Sayings, Quotations, Verses - Large, searchable compilation of quotations arranged by topic. Inspirational, thought-provoking, humorous, literary, and special occasion quotes."
113,Education,duke.edu,"Home | Duke University - Official gateway to information and online resources of Duke University, a private research university located in Durham NC, USA."
114,Education,princeton.edu,Princeton University - Welcome - Princeton University is a vibrant community of scholarship and learning that stands in the nation's service and in the service of all nations.
115,Education,commonapp.org,The Common Application Online
116,Education,uiowa.edu,"The University of Iowa - The official homepage of The University of Iowa, a major public research university located in Iowa City in southeast Iowa. Serves as a directory to the University, including links to information for admission, current students, staff, faculty, parents, visitors, and more."
117,Education,gmu.edu,"Welcome to George Mason University - Minutes from Washington D.C. - Founded in 1972, the university has grown into a major educational force and earned a reputation as an innovative, entrepreneurial institution. As a Virginia state institution, Mason has gained national distinction in a range of ac"
118,Education,collegeconfidential.com,"College Admissions, Search, and Financial Aid Help from College Confidential - CollegeConfidential provides College Admissions, School Search, and Financial Aid Resources to students and parents, from Ivy League to State Colleges."
119,Education,ashford.edu,"Accredited Online Master's, Bachelor's, Associate's Degree  | Ashford University - Ashford University is a new kind of college experience. We support your success, with online bachelor & master's degree programs. Learn more now"
120,Education,synonym.com,"Synonyms Thesaurus with Antonyms & Definitions | Synonym.com - Find word synonyms, antonyms, and definitions using this free thesaurus & online dictionary. Synonym.com is the web's best resource for English synonyms, antonyms, and definitions."
121,Education,raz-kids.com,"Interactive ebooks for children - Online guided reading program with interactive ebooks, downloadable books, and reading quizzes."
122,Education,wustl.edu,"Washington University in St. Louis - Counted among the world's leaders in teaching and research, and draws students and faculty from all 50 states and more than 120 nations."
123,Education,gatech.edu,"Georgia Institute of Technology - The Georgia Institute of Technology is one of the nation's top research universities, distinguished by its commitment to improving the human condition through advanced science and technology."
124,Education,wikiquote.org,Wikiquote - Wikiquote
125,Education,babbel.com,"Learn Languages Online with Babbel.com - Babbel is the new way to learn a foreign language. The comprehensive learning system combines effective education methods with state-of-the-art technology. Interactive online courses will improve your grammar, vocabulary and pronunciation skills in no time. "
126,Education,c-sharpcorner.com,"Learn C#, WPF, Visual Studio 2012, Windows 8, TypeScript, HTML 5, Windows Phone 8, ASP.NET, WCF    - Free c# articles, c# tutorials, news, blogs, resources, forum for C# programming."
127,Education,gsu.edu,Georgia State University
128,Education,cliffsnotes.com,"Get Homework Help with CliffsNotes Study Guides     - Get homework help from CliffsNotes literature notes and study guides, covering literature, Shakespeare, biology, chemistry, math, calculus, history, and much more."
129,Education,gwu.edu,The George Washington University
130,Education,wordhippo.com,Find Similar or Opposite words at WordHippo.com - Find opposite or similar words at WordHippo.com.
131,Education,thinkquest.org,ThinkQuest
132,Education,ucdavis.edu,UC Davis: Welcome to UC Davis
133,Education,indexmundi.com,Index Mundi - Country Facts
134,Education,fileinfo.com,FileInfo.com - The Central File Extensions Registry - FileInfo.com is the central file extensions registry and serves as the universal database of file associations.
135,Education,usf.edu,"Welcome to the University of South Florida | Tampa, FL - The University of South Florida is a high-impact, global research university dedicated to student success serving Tampa, St. Petersburg and Sarasota-Manatee."
136,Education,pitt.edu,"Home | University of Pittsburgh - The University of Pittsburgh is among the nation's most distinguished comprehensive universities, with a wide variety of high-quality programs in both the arts and sciences and professional fields."
137,Education,higheredjobs.com,"HigherEdJobs - Jobs in Higher Education - Faculty and administrative positions at colleges and universities. Now listing 19,640 jobs. Updated daily. Free to job seekers."
138,Education,education-portal.com,"Take Free Online Courses. Earn College Credit. Research Schools, Degrees & Careers - Take free online courses that are fun and engaging. Pass exams to earn real college credit. Research schools and degrees to further your education."
139,Education,caltech.edu,Caltech
140,Education,uci.edu,"University of California, Irvine"
141,Education,unt.edu,"University of North Texas - UNT is a student-focused, public, research university located in Denton, Texas. As one of Texas' largest universities, we offer 97 bachelor's, 82 master's and 35 doctoral degree programs within the university's 12 colleges and schools."
142,Education,utoronto.ca,University of Toronto
143,Education,enchantedlearning.com,"ENCHANTED LEARNING HOME PAGE - Enchanted Learning Software creates children's educational web sites and games designed to stimulate creativity, learning, enjoyment, and imagination."
144,Education,umn.edu,"Twin Cities - University of Minnesota - At the University of Minnesota, discovery is illumination. It's at the core of our teaching, research and public service, shining in our students, our breakthroughs, and the economic power the U provides to the state. Be a light. Learn what the U of M offers."
145,Education,utk.edu,"Home  | The University of Tennessee, Knoxville - The University of Tennessee, Knoxville was founded in 1794 and was designated the state land-grant institution in 1879."
146,Education,thegreatcourses.com,"The Great Courses® - Audio & Video Lectures from The World’s Best Professors   - Choose from more than 350 courses delivered by great teachers from the Ivy League, Stanford, Georgetown, and other leading colleges and universities."
147,Education,oregonstate.edu,Oregon State University
148,Education,ucsb.edu,"Welcome to UC Santa Barbara - The UNIVERSITY OF CALIFORNIA, SANTA BARBARA home page, portal to UCSB academics and research, plus SEARCH UTILITIES to find your way around the domain."
149,Education,edx.org,EdX
150,Education,uchicago.edu,"The University of Chicago - The University of Chicago is a private, nondenominational, culturally rich and ethnically diverse coeducational research university located in Hyde Park, Chicago."
151,Education,ucsd.edu,"University of California, San Diego - The University California, San Diego is one of the world's leading public research universities, located in beautiful La Jolla, California."
152,Education,umass.edu,University of Massachusetts Amherst - UMass Amherst is the flagship campus of the University of Massachusetts system.
153,Education,englishclub.com,English Club - The online English Club is for you to learn English online free or find online resources if you teach English.
154,Education,uoregon.edu,University of Oregon
155,Education,italki.com,"Italki: Learn a language online - italki is a language learning social network that connects students and language teachers.  You can find language exchange partners, practice speaking a foreign language, ask questions, find free online language resources, and get help from an international communi"
156,Education,fsu.edu,"Florida State University - One of the nation's elite research universities, Florida State University — with the Carnegie Foundation's highest designation, Doctoral/Research University-Extensive — offers a distinctive academic environment."
157,Education,ox.ac.uk,Homepage - University of Oxford  - The University of Oxford is one of the leading universities in the world.
158,Education,utah.edu,"The University of Utah - Founded in 1850, The University of Utah is the flagship institution of higher learning in Utah, and offers over 100 undergraduate and more than 90 graduate degree programs to over 30,000 students. As a preeminent research and teaching institution, the University cultivates "
159,Education,k-state.edu,Kansas State University - Kansas State University official homepage.
160,Education,thegeekstuff.com,"The Geek Stuff - Provides Instruction Guides, How-Tos, Troubleshooting Tips and Tricks on Linux, Database, Hardware, Security, Web and Open Source for both Newbies and Geeks - TheGeekStuff by Ramesh Natarajan"
161,Education,indiana.edu,Indiana University - Indiana University is a leading research and teaching institution and one of the best values in public education according to Kiplinger's.
162,Education,open.ac.uk,"Distance Learning Courses and Adult Education - The Open University - The Open University's official website; Part-time higher education, supported distance and open learning for undergraduate and postgraduate qualifications."
163,Education,cam.ac.uk,"University of Cambridge - Official site with links to, and information about, the departments, faculties, colleges, people, and organizations that make up the University of Cambridge."
164,Education,cmu.edu,"Carnegie Mellon University | CMU - Carnegie Mellon University (CMU) is a global research university recognized for world-class arts and technology programs, collaboration across disciplines and innovative leadership in education."
165,Education,ubc.ca,The University of British Columbia - The University of British Columbia
166,Education,ucr.edu,"UC Riverside: Home - Official Web site offers information on academics, admissions, athletics, campus, colleges and departments, culture and arts, jobs and facilities."
167,Education,english-test.net,English-test
168,Education,flvs.net,"Online High School | Online Middle School | Grades K-12 | Florida Virtual School    - Florida Virtual School is an accredited, public, online e-learning school serving students in grades K-12 all over the world."
169,Education,uwaterloo.ca,Home | University of Waterloo
170,Education,sfsu.edu,"San Francisco State University - Official site of San Francisco State University, a  public urban university with a conscience located in one of the world's  most vibrant and beautiful cities. Begin your college search here for  world-class undergraduate study, graduate study, scholarly research an"
171,Education,mathxl.com,MathXL | Pearson
172,Education,alison.com,"Free Online Courses, Workplace Skills Training, Interactive Education and Multimedia Learning | ALISON - ALISON is the world's leading provider of free online courses with certificates for basic and essential workplace skills. Start your elearning and online training today and educate yourself for "
173,Education,cprogramming.com,"C programming.com - Learn C and C++ Programming - Cprogramming.com - A website designed to help you learn C or C++.  Understandable C and C++ programming tutorials, compiler reviews, source code, tips and tricks."
174,Education,hbs.edu,Harvard Business School    
175,Education,utah.gov,Utah.gov - The Official Website of the State of Utah - Utah.gov - The Official Website of the State of Utah
176,Education,buffalo.edu,Welcome to the University at Buffalo - University at Buffalo
177,Education,iastate.edu,Iowa State University - Iowa State University is the nation's most student-centered public research university. 100 majors. 800 clubs. 1 amazing adventure.
178,Education,colostate.edu,"Colorado State University - Fort Collins   - Colorado State University is an accredited, public, four-year, comprehensive research university located in Fort Collins. CSU offers bachelors, masters and doctorate degrees from its colleges and areas of study."
179,Education,angellearning.com,"Blackboard Learn | ANGEL Edition   - By merging with ANGEL Learning, Blackboard brought on board a premier education technology company with a tremendous reputation for innovation. Blackboard Learn - ANGEL Edition clients can look forward to continued investment in the software to improve its perfo"
180,Education,ucl.ac.uk,"UCL - London's Global University - UCL (University College London) is London's leading multidisciplinary university, with 8,000 staff and 25,000 students. Click for more info on our research & courses"
181,Education,bukisa.com,"Bukisa - Share Your Knowledge - Bukisa - Share your Knowledge - How To Guides, Tips &amp; Instructions &amp; Invite your Friends to join."
182,Education,englishforums.com,"Learn English Online, Teach English - World #1 - Learn English on the world's largest community of teachers and ESL students. Now available in multiple-languages!  Learn English Online, Teach English - World #1"
183,Education,webassign.net,WebAssign 
184,Education,cengage.com,Cengage
185,Education,venture-lab.org,"Venture Lab  - Venture Lab offers free online classes from top Universities and educational institutes in the world. Join us to take free online courses in entrepreneurship, creativity, education and finance in a more fun and experiential format!"
186,Education,learn4good.com,"Online college application free,colleges in the US,study abroad in Italy Spain France UK,English schools London,learn Spanish language,Italian arts classes NY CA TX,job postings USA,business courses,TEFL TESOL - Online college application free: Colleges in the US, study abroad in Italy, Italian art"
187,Education,coursecompass.com,MyLab / Mastering | Pearson
188,Education,cambridge.org,"Cambridge University Press - Cambridge University Press advances learning, knowledge and research worldwide"
189,Education,iu.edu,Indiana University - Indiana University is a leading research and teaching institution and one of the best values in public education according to Kiplinger's.
190,Education,tes.co.uk,"The TES - Education Jobs, Teaching Resources, Magazine & Forums  - Latest news, comment, education jobs, teaching resources and discussion from the TES."
191,Education,vdict.com,Vietnamese Dictionary and Translation - Từ điển và dịch tiếng Việt
192,Education,ucsc.edu,"University of California, Santa Cruz - Four-year public institution comprised of ten residential college communities nestled in the redwood forests and meadows overlooking Monterey Bay."
193,Education,nus.edu.sg,"NUS - Home - A research-intensive university with an entrepreneurial dimension, NUS is ranked consistently as one of the world's top universities. We offer the most extensive selection of academic programmes in Singapore, collaborating with leading universities worldwide to provide our students wit"
194,Education,ecollege.com,"Pearson eCollege - eCollege provides a comprehensive, on-demand eLearning solution to online education institutions. The eCollege solution includes an industry-leading CMS, powerful Program Administration System, a complete hosting infrastructure and comprehensive system support"
195,Education,englishtown.com,"Learn English Online - Englishtown               - Learn to speak English with native English teachers online now.  The largest and most advanced online English school empowers you to learn English anytime, anywhere. Results guaranteed.  "
196,Education,capella.edu,Online Accredited College Degree Programs - Capella University           - Capella University offers accredited online degree programs for adults who seek to reach their professional goals and make a difference in the lives of others.
197,Education,faqs.org,Internet FAQ Archives - Online Education - faqs.org
198,Education,ualberta.ca,University of Alberta
199,Education,schoolloop.com,"School Loop | School Loop. In school and on track. - School Loop is a mission-driven company that develops hosted software services for K-12 schools  that put the student at the center of the systems designed to keep them in school and on track.    Created by a high school teacher in 2004, School L"
200,Education,unsw.edu.au,The University of New South Wales
201,Education,byu.edu,Brigham Young University
