,Category,url,description,title
108,Education,https://ucf.edu,"UCF is an emerging preeminent research university in Florida & one of the best colleges for quality, access, impact & value.",University of Central Florida | Orlando's Hometown University
109,Education,https://hawaii.edu,"With 10 campuses and educational, training and research centers across the Hawaiian Islands, the UH System is leading the way to a diverse, sustainable future.",University of Hawaii System
110,Education,https://cuny.edu,The Greatest Urban University in the World,The City University of New York
111,Education,https://tamu.edu,"The first public institution of higher education, this flagship university provides the best return-on-investment among Texas's public schools, with almost 400 degrees.","Texas A&M University, College Station, TX"
112,Education,https://quotegarden.com,"Large, searchable compilation of quotations arranged by topic. Inspirational, thought-provoking, humorous, literary, and special occasion quotes.",The Quote Garden
113,Education,https://duke.edu,,Duke University
114,Education,https://princeton.edu,"Through teaching and research, we educate people who will contribute to society and develop knowledge that will make a difference in the world.",Princeton University
115,Education,https://commonapp.org,"Each year, the Common App goes offline to prepare for the launch of the new application. The 2021-2022 application will launch on August 1, 2021.",Apply to college with Common App | Your future starts here
116,Education,https://uiowa.edu,"Join a global community of renowned artists, pioneering scientists, and faculty dedicated to student success at the University of Iowa.",The University of Iowa
117,Education,https://gmu.edu,error,error
118,Education,https://collegeconfidential.com,"Real, unfiltered guidance on applying to college and exploring majors and careers.",Admissions | College Search | College Confidential
119,Education,https://ashford.edu,error,error
120,Education,https://synonym.com,error,error
121,Education,https://raz-kids.com,"Online guided reading program with interactive ebooks, downloadable books, and reading quizzes.",Raz-Kids
122,Education,https://wustl.edu,"Washington University is a place where you can be an individual and achieve exceptional things. We are committed to learning and exploration, to both discovery and impact.",Washington University in St. Louis
123,Education,https://gatech.edu,"Georgia Tech (Georgia Institute of Technology) is a technology-focused college in Atlanta, Ga, and one of the top research universities in the USA.",Georgia Tech
124,Education,https://wikiquote.org,,Wikiquote
125,Education,https://babbel.com,"Babbel is the new way to learn a foreign language. The comprehensive learning system combines effective education methods with state-of-the-art technology. Interactive online courses will improve your grammar, vocabulary and pronunciation skills in no time. You'll make fast progress and have fun doing it.",Language for Life - Babbel.com
126,Education,https://c-sharpcorner.com,,C# Corner - Community of Software and Data Developers
127,Education,https://gsu.edu,"With seven campuses throughout metro Atlanta, the university provides its world-class faculty and more than 51,000 students with unsurpassed connections to the opportunities available in one of the 21st century’s great global cities.",Georgia State University
128,Education,https://cliffsnotes.com,"CliffsNotes is the original (and most widely imitated) study guide. CliffsNotes study guides are written by real teachers and professors, so no matter what you&#39;re studying, CliffsNotes can ease your homework headaches and help you score high on exams. Founded in 1958 by Clifton Keith Hillegass, CliffsNotes is the original company that produced study guides and book summaries ranging from Shakespeare to Algebra and the SAT!","CliffsNotes Study Guides | Book Summaries, Test Preparation & Homework Help | Written by Teachers"
129,Education,https://gwu.edu,error,error
130,Education,https://wordhippo.com,Thesaurus and word tools for your creative needs. Find the word you're looking for!,Thesaurus and Word Tools | WordHippo
131,Education,https://thinkquest.org,error,error
132,Education,https://ucdavis.edu,UC Davis innovates to address the world’s most challenging problems and educates tomorrow’s leaders.,UC Davis | UC Davis
133,Education,https://indexmundi.com,IndexMundi is a data portal that gathers facts and statistics from multiple sources and turns them into easy to use visuals.,IndexMundi - Country Facts
134,Education,https://fileinfo.com,"FileInfo is the central file extensions registry and contains a database of over 10,000 file types.",FileInfo.com - The File Format Database
135,Education,https://usf.edu,,"Welcome to the University of South Florida | Tampa, St. Petersburg, Sarasota-Manatee,
      FL"
136,Education,https://pitt.edu,,Home | University of Pittsburgh
137,Education,https://higheredjobs.com,,
138,Education,https://education-portal.com,Take online courses on Study.com that are fun and engaging. Pass exams to earn real college credit. Research schools and degrees to further your education.,"Study.com | Take Online Courses. Earn College Credit. Research Schools, Degrees & Careers"
139,Education,https://caltech.edu,The California Institute of Technology aims to expand human knowledge and benefit society through research integrated with education.,"Home
  

     | 
    
    www.caltech.edu"
140,Education,https://uci.edu,"Home page for the University of California, Irvine.",Home | UCI
141,Education,https://unt.edu,"UNT is a student-focused, public, research university located in Denton, Texas. As one of Texas' largest universities, we offer 113 bachelor's, 94 master's and 37 doctoral degree programs within the university's 14 colleges and schools.",University of North Texas
142,Education,https://utoronto.ca,"The University of Toronto is a globally top-ranked public research university in Toronto, Ontario, Canada.",University of Toronto
143,Education,https://enchantedlearning.com,"Enchanted Learning has thousands of kids worksheets, crafts, activities, and more, across all major school subjects!","EnchantedLearning.com | Worksheets, Activities, Crafts & More"
144,Education,https://umn.edu,"The University of Minnesota, Twin Cities is among the nation’s top public research universities offering a wide range of undergraduate and graduate programs.",University of Minnesota Twin Cities
145,Education,https://utk.edu,"Learn how University of Tennessee Volunteers light the way for others. Request information, visit campus, or apply for admission.","The University of Tennessee, Knoxville"
146,Education,https://thegreatcourses.com,error,error
147,Education,https://oregonstate.edu,Oregon State University continues to advance its 150-year mission to provide access to a high-quality education as Oregon's largest and only statewide public research university.,Oregon State University
148,Education,https://ucsb.edu,UC Santa Barbara is a leading center for teaching and research located on the California coast - truly a learning and living environment like no other!,Home | UC Santa Barbara
149,Education,https://edx.org,Access 2000 free online courses from 140 leading institutions worldwide. Gain new skills and earn a certificate of completion. Join today.,"edX | Free Online Courses by Harvard, MIT, & more | edX"
150,Education,https://uchicago.edu,"One of the world’s leading research universities, the University of Chicago inspires scholars to pursue field-defining research, while providing a transformative education for students.",The University of Chicago | University of Chicago
151,Education,https://ucsd.edu,,University of California San Diego
152,Education,https://umass.edu,,Homepage : UMass Amherst
153,Education,https://englishclub.com,Free online resources for learning English 🇬🇧🇺🇸 or teaching it. From easy guides to grammar to fun games and quizzes.,EnglishClub - Learn or Teach English Today
154,Education,https://uoregon.edu,Oregon's flagship institution tucked into the scenic Willamette Valley.,University of Oregon
155,Education,https://italki.com,"italki is the best language learning community. Here you can learn over 150 languages like English, Spanish, French, Chinese, etc. with professional online tutors.",Learn 150+ foreign languages with professional teachers online
156,Education,https://fsu.edu,"FSU, designated a preeminent university in the state of Florida, is one of the most respected research and learning institutions in the country.",Florida State University
157,Education,https://ox.ac.uk,The University of Oxford is one of the leading universities in the world.,University of Oxford
158,Education,https://utah.edu,"Founded in 1850, The University of Utah is the flagship institution of higher learning in Utah, and offers over 100 undergraduate and more than 90 graduate degree programs to over 30,000 students. As a preeminent research and teaching institution, the University cultivates an academic environment in which the highest standards of intellectual integrity and scholarship are practiced.",The University of Utah
159,Education,https://k-state.edu,"Kansas State University embraces diversity, encourages engagement and is committed to improving the quality of life of those we serve through education, research and service.",Kansas State University
160,Education,https://thegeekstuff.com,"Guides, HowTos and Tips for Technology Geeks",The Geek Stuff
161,Education,https://indiana.edu,"Students get the quintessential college experience at Indiana University Bloomington, one of America's leading research universities.",Indiana University Bloomington
162,Education,https://open.ac.uk,error,error
163,Education,https://cam.ac.uk,"The mission of the University of Cambridge is to contribute to society through education, learning and research at the highest international level.",University of Cambridge
164,Education,https://cmu.edu,"CMU is a global research university known for its world-class, interdisciplinary programs: arts, business, computing, engineering, humanities, policy and science.",Homepage -     CMU - Carnegie Mellon University
165,Education,https://ubc.ca,"The University of British Columbia is a global centre for research and teaching, consistently ranked among the top 20 public universities in the world.",The University of British Columbia
166,Education,https://ucr.edu,,"home | University of California, Riverside"
167,Education,https://english-test.net,,"Free English Tests for ESL/EFL, TOEFL�, TOEIC�, SAT�, GRE�, GMAT�"
168,Education,https://flvs.net,"FLVS (Florida Virtual School) is an accredited, public, e-learning school serving students in grades K-12 online - in Florida and all over the world.",FLVS - Florida Virtual School | Grades K-12 Online
169,Education,https://uwaterloo.ca,"With more than 42,000+ students attending annually, Waterloo is #1 in Canada for experiential learning and employer-student connections.",Home | University of Waterloo | University of Waterloo
170,Education,https://sfsu.edu,"Official site of San Francisco State University, a public urban university with a conscience located in one of the world's most vibrant and beautiful cities. Begin your college search here for world-class undergraduate study, graduate study, scholarly research and community service learning.",San Francisco State University
171,Education,https://mathxl.com,,MathXL | Pearson
172,Education,https://alison.com,error,error
173,Education,https://cprogramming.com,,Learn C and C++ Programming - Cprogramming.com
174,Education,https://hbs.edu,error,error
175,Education,https://utah.gov,The Official Website of the State of Utah,Home | Utah.gov
176,Education,https://buffalo.edu,"Explore New York's No. 1 public university. The University at Buffalo, a flagship institution, combines superior academics with true affordability.",Welcome to the University at Buffalo - University at Buffalo
177,Education,https://iastate.edu,Iowa State University is the nation's most student-centered public research university. 100 majors. 800 clubs. 1 amazing adventure.,Iowa State University
178,Education,https://colostate.edu,error,error
179,Education,https://angellearning.com,error,error
180,Education,https://ucl.ac.uk,UCL is consistently ranked as one of the top ten universities in the world (QS World University Rankings 2010-2022) and is No.2 in the UK for research power (Research Excellence Framework 2021).,UCL - London's Global University
181,Education,https://bukisa.com,Powered by BeatsMedia CMS.,Bukisa - Life and Style News
182,Education,https://englishforums.com,"This year, the Internet's largest English language community goes blockchain. Learn and perfect your English... and earn crypto-tokens",English Forward The internet's largest learn english community. Now on blockchain
183,Education,https://webassign.net,WebAssign is an online education platform built by educators that provides affordable tools to empower conﬁdent students in a virtual learning environment.,WebAssign
184,Education,https://cengage.com,,"Cengage Asia: Higher Education, Digital Learning, Chinese Learning"
185,Education,https://venture-lab.org,,Venture Lab
186,Education,https://learn4good.com,error,error
187,Education,https://coursecompass.com,error,error
188,Education,https://cambridge.org,"We unlock the potential of millions of people. Our qualiﬁcations, assessments, academic publications and original research spread knowledge and spark enquiry.",Home | Cambridge University Press & Assessment
189,Education,https://iu.edu,"One of America’s leading research universities, Indiana University has campuses and medical centers located across Indiana. Our work improves lives. Our impact is global. Our vision is excellence.",Indiana University
190,Education,https://tes.co.uk,Tes is dedicated to supporting the world’s teachers. Our mission is to enable great teaching by helping educators to find the tools and technology they need to excel and by supporting them throughout their career and professional development.,"Tes - Education Jobs, Teaching Resources, School Software & Magazine"
191,Education,https://vdict.com,,VDict - Vietnamese Dictionary
192,Education,https://ucsc.edu,A world-class public research institution comprised of ten residential college communities nestled in the redwood forests and meadows overlooking central California's Monterey Bay.,"University of California, Santa Cruz"
193,Education,https://nus.edu.sg,National University of Singapore is ranked consistently as one of the world's top universities. We offer the most extensive college degree courses in Singapore.,NUS - National University of Singapore
194,Education,https://ecollege.com,error,error
195,Education,https://englishtown.com,error,error
196,Education,https://capella.edu,"Capella University is an accredited online university offering PhD, professional doctorate, master’s and bachelor’s programs for adults seeking to advance their career.",Capella University | Online Degrees from an Accredited University
197,Education,https://faqs.org,error,error
198,Education,https://ualberta.ca,"The University of Alberta is a Top 5 Canadian university located in Edmonton, Alberta, and home to 40,000 students in a wide variety of programs.",University of Alberta
199,Education,https://schoolloop.com,,~School Loop Inc.
200,Education,https://unsw.edu.au,UNSW is ranked 2nd in Australia and 27th in the world for Graduate Employability. Browse our range of study options and find the perfect one for you.,UNSW Sydney | One of the best universities in Australia
201,Education,https://byu.edu,"The official website of Brigham Young University | Provo, UT",Home - BYU
202,Education,https://uiuc.edu,"Information for students, alumni, and parents from Illinois flagship public university, a world leader in research, teaching, and public engagement.",Home | University of Illinois Urbana-Champaign
203,Education,https://alaska.edu,,UA System | University of Alaska System
204,Education,https://uic.edu,"Located in the heart of one of the world’s great cities, the University of Illinois Chicago is a vital part of the educational, technological and cultural fabric of the region. As Chicago’s only public research university with more than 33,000 students, 16 colleges, a hospital and a health sciences system, UIC provides students access to excellence and opportunity.",University of Illinois Chicago
205,Education,https://manchester.ac.uk,"Part of the prestigious Russell Group of universities, The University of Manchester is the largest single-site university in the UK, with the biggest student community.",The University of Manchester
206,Education,https://linguee.com,"English Dictionary and Translation Search with 1,000,000,000 example sentences from human translators. Languages: English, German, French, Spanish, and Portuguese","Linguee | Dictionary for German, French, Spanish, and more"
207,Education,https://onthehub.com,"Download the latest software with academic discounts from OnTheHub. Save on Microsoft, Adobe, SPSS, Parallels & more as a student, faculty or staff member.","Save up to 95% with Academic Software Discounts for Students, Faculty, and Staff | OnTheHub"
208,Education,https://oup.com,home,Oxford University Press - homepage
209,Education,https://thestudentroom.co.uk,"The UK's biggest student community. Boost your grades, learn with free study tools, find your perfect uni place & get answers to any question on the forums.",The Student Room
210,Education,https://pearsoned.com,"Offering educational products and services, assessment, and professional development for all stages of learning. Learn more.",Pearson | The world's learning company | US
211,Education,https://eslcafe.com,"Since 1995 Dave's ESL Cafe has been a meeting place for ESL/EFL students & teachers from around the world -  jobs,  a resume database, forums,  resources, & more!",Home Page -  ESL
212,Education,https://bab.la,error,error
213,Education,https://studymode.com,"Find A+ essays, research papers, book notes, course notes and writing tips. Millions of students use StudyMode to jumpstart their assignments.",Free Essay Examples and Research Papers | StudyMode
214,Education,https://monash.edu.au,Monash University is one of Australia’s leading universities and ranks among the world’s top 100. We help change lives through research and education. Learn more.,Monash University - one of the top universities in Australia
215,Education,https://tradepub.com,"#1 Resource for Free Professional and Technical Research, White Papers, Case Studies, Magazines, and eBooks","Free Professional and Technical Research Library of White Papers, Magazines, Reports, and eBooks"
216,Education,https://worddictionary.co.uk,error,error
217,Education,https://usg.edu,,University System of Georgia
218,Education,https://indiastudychannel.com,"IndiaStudyChannel.com is the best education portal and college admissions website in India providing admission guidance, comprehensive information on study abroad programs, courses in India, directory of Indian universities, colleges and schools.","Study in India: Admissions to Top Colleges - MBA, MCA, MBBS, B Tech, BBA"
219,Education,https://glosbe.com,error,error
220,Education,https://bharatstudent.com,error,error
221,Cars,https://mapquest.com,"Official MapQuest website, find driving directions, maps, live traffic updates and road conditions.  Find nearby businesses, restaurants and hotels. Explore!","Official MapQuest - Maps, Driving Directions, Live Traffic"
222,Cars,https://autotrader.com,,Autotrader - page unavailable
