d_case_folding,d_digits_removal,d_breaking_hyphens,d_punctuation_mark_removal,d_tokenizing,d_stemming,d_stopword_removal,,label
"automatic works cited and bibliography formatting for mla, apa and chicago/turabian citation styles. now supports 7th edition of mla.","the latest in science, space, health, and technology","the latest in science, space, health, and technology",the latest in science space health and technology,"['the', 'latest', 'in', 'science', 'space', 'health', 'and', 'technology']","['the', 'late', 'in', 'science', 'space', 'health', 'and', 'technology']","['late', 'science', 'space', 'health', 'technology']",,aman
"the latest in science, space, health, and technology","unt is a student-focused, public, research university located in denton, texas. as one of texas' largest universities, we offer  bachelor's,  master's and  doctoral degree programs within the university's  colleges and schools.","unt is a student focused, public, research university located in denton, texas. as one of texas' largest universities, we offer  bachelor's,  master's and  doctoral degree programs within the university's  colleges and schools.",unt is a student focused public research university located in denton texas as one of texas' largest universities we offer bachelor's master's and doctoral degree programs within the university's colleges and schools,"['unt', 'is', 'a', 'student', 'focused', 'public', 'research', 'university', 'located', 'in', 'denton', 'texas', 'as', 'one', 'of', 'texas', ""'"", 'largest', 'universities', 'we', 'offer', 'bachelor', ""'s"", 'master', ""'s"", 'and', 'doctoral', 'degree', 'programs', 'within', 'the', 'university', ""'s"", 'colleges', 'and', 'schools']","['unt', 'be', 'a', 'student', 'focus', 'public', 'research', 'university', 'locate', 'in', 'denton', 'texas', 'a', 'one', 'of', 'texas', '', 'large', 'university', 'we', 'offer', 'bachelor', 's', 'master', 's', 'and', 'doctoral', 'degree', 'program', 'within', 'the', 'university', 's', 'college', 'and', 'school']","['unt', 'student', 'focus', 'public', 'research', 'university', 'locate', 'denton', 'texas', 'one', 'texas', '', 'large', 'university', 'offer', 'bachelor', 'master', 'doctoral', 'degree', 'program', 'within', 'university', 'college', 'school']",,aman
tear down the walls,tear down the walls,tear down the walls,tear down the walls,"['tear', 'down', 'the', 'walls']","['tear', 'down', 'the', 'wall']","['tear', 'wall']",,aman
"part of the prestigious russell group of universities, the university of manchester is the largest single-site university in the uk, with the biggest student community.","part of the prestigious russell group of universities, the university of manchester is the largest single-site university in the uk, with the biggest student community.","part of the prestigious russell group of universities, the university of manchester is the largest single site university in the uk, with the biggest student community.",part of the prestigious russell group of universities the university of manchester is the largest single site university in the uk with the biggest student community,"['part', 'of', 'the', 'prestigious', 'russell', 'group', 'of', 'universities', 'the', 'university', 'of', 'manchester', 'is', 'the', 'largest', 'single', 'site', 'university', 'in', 'the', 'uk', 'with', 'the', 'biggest', 'student', 'community']","['part', 'of', 'the', 'prestigious', 'russell', 'group', 'of', 'university', 'the', 'university', 'of', 'manchester', 'be', 'the', 'large', 'single', 'site', 'university', 'in', 'the', 'uk', 'with', 'the', 'big', 'student', 'community']","['part', 'prestigious', 'russell', 'group', 'university', 'university', 'manchester', 'large', 'single', 'site', 'university', 'uk', 'big', 'student', 'community']",,aman
"the best apple blog providing news, reviews, tutorials, and jailbreak info, about everything iphone, ipad, apple watch, apple tv, mac and ios.","the best apple blog providing news, reviews, tutorials, and jailbreak info, about everything iphone, ipad, apple watch, apple tv, mac and ios.","the best apple blog providing news, reviews, tutorials, and jailbreak info, about everything iphone, ipad, apple watch, apple tv, mac and ios.",the best apple blog providing news reviews tutorials and jailbreak info about everything iphone ipad apple watch apple tv mac and ios,"['the', 'best', 'apple', 'blog', 'providing', 'news', 'reviews', 'tutorials', 'and', 'jailbreak', 'info', 'about', 'everything', 'iphone', 'ipad', 'apple', 'watch', 'apple', 'tv', 'mac', 'and', 'ios']","['the', 'best', 'apple', 'blog', 'provide', 'news', 'review', 'tutorial', 'and', 'jailbreak', 'info', 'about', 'everything', 'iphone', 'ipad', 'apple', 'watch', 'apple', 'tv', 'mac', 'and', 'io']","['best', 'apple', 'blog', 'provide', 'news', 'review', 'tutorial', 'jailbreak', 'info', 'everything', 'iphone', 'ipad', 'apple', 'watch', 'apple', 'tv', 'mac', 'io']",,aman
"business technology, it news, product reviews and enterprise it strategies.","business technology, it news, product reviews and enterprise it strategies.","business technology, it news, product reviews and enterprise it strategies.",business technology it news product reviews and enterprise it strategies,"['business', 'technology', 'it', 'news', 'product', 'reviews', 'and', 'enterprise', 'it', 'strategies']","['business', 'technology', 'it', 'news', 'product', 'review', 'and', 'enterprise', 'it', 'strategy']","['business', 'technology', 'news', 'product', 'review', 'enterprise', 'strategy']",,aman
"wolfram, creators of the wolfram language, wolfram|alpha, mathematica, development platform, data science platform, finance platform, systemmodeler...","wolfram, creators of the wolfram language, wolfram|alpha, mathematica, development platform, data science platform, finance platform, systemmodeler...","wolfram, creators of the wolfram language, wolfram|alpha, mathematica, development platform, data science platform, finance platform, systemmodeler...",wolfram creators of the wolfram language wolframalpha mathematica development platform data science platform finance platform systemmodeler,"['wolfram', 'creators', 'of', 'the', 'wolfram', 'language', 'wolframalpha', 'mathematica', 'development', 'platform', 'data', 'science', 'platform', 'finance', 'platform', 'systemmodeler']","['wolfram', 'creator', 'of', 'the', 'wolfram', 'language', 'wolframalpha', 'mathematica', 'development', 'platform', 'data', 'science', 'platform', 'finance', 'platform', 'systemmodeler']","['wolfram', 'creator', 'wolfram', 'language', 'wolframalpha', 'mathematica', 'development', 'platform', 'data', 'science', 'platform', 'finance', 'platform', 'systemmodeler']",,aman
"the university of north carolina at chapel hill, the nation’s first public university, is a global higher education leader known for innovative teaching, research and public service. a member of the prestigious association of american universities, carolina regularly ranks as the best value for academic quality in u.s. public higher education.","the university of north carolina at chapel hill, the nation’s first public university, is a global higher education leader known for innovative teaching, research and public service. a member of the prestigious association of american universities, carolina regularly ranks as the best value for academic quality in u.s. public higher education.","the university of north carolina at chapel hill, the nation’s first public university, is a global higher education leader known for innovative teaching, research and public service. a member of the prestigious association of american universities, carolina regularly ranks as the best value for academic quality in u.s. public higher education.",the university of north carolina at chapel hill the nation’s first public university is a global higher education leader known for innovative teaching research and public service a member of the prestigious association of american universities carolina regularly ranks as the best value for academic quality in us public higher education,"['the', 'university', 'of', 'north', 'carolina', 'at', 'chapel', 'hill', 'the', 'nation', '’', 's', 'first', 'public', 'university', 'is', 'a', 'global', 'higher', 'education', 'leader', 'known', 'for', 'innovative', 'teaching', 'research', 'and', 'public', 'service', 'a', 'member', 'of', 'the', 'prestigious', 'association', 'of', 'american', 'universities', 'carolina', 'regularly', 'ranks', 'as', 'the', 'best', 'value', 'for', 'academic', 'quality', 'in', 'us', 'public', 'higher', 'education']","['the', 'university', 'of', 'north', 'carolina', 'at', 'chapel', 'hill', 'the', 'nation', '', 's', 'first', 'public', 'university', 'be', 'a', 'global', 'high', 'education', 'leader', 'know', 'for', 'innovative', 'teach', 'research', 'and', 'public', 'service', 'a', 'member', 'of', 'the', 'prestigious', 'association', 'of', 'american', 'university', 'carolina', 'regularly', 'rank', 'a', 'the', 'best', 'value', 'for', 'academic', 'quality', 'in', 'u', 'public', 'high', 'education']","['university', 'north', 'carolina', 'chapel', 'hill', 'nation', '', 'first', 'public', 'university', 'global', 'high', 'education', 'leader', 'know', 'innovative', 'teach', 'research', 'public', 'service', 'member', 'prestigious', 'association', 'american', 'university', 'carolina', 'regularly', 'rank', 'best', 'value', 'academic', 'quality', 'u', 'public', 'high', 'education']",,aman
"we help millions of people get the most out of their devices and decide which ones are worth buying. we cover iphone, android, macs, pcs, amazon and more!","we help millions of people get the most out of their devices and decide which ones are worth buying. we cover iphone, android, macs, pcs, amazon and more!","we help millions of people get the most out of their devices and decide which ones are worth buying. we cover iphone, android, macs, pcs, amazon and more!",we help millions of people get the most out of their devices and decide which ones are worth buying we cover iphone android macs pcs amazon and more,"['we', 'help', 'millions', 'of', 'people', 'get', 'the', 'most', 'out', 'of', 'their', 'devices', 'and', 'decide', 'which', 'ones', 'are', 'worth', 'buying', 'we', 'cover', 'iphone', 'android', 'macs', 'pcs', 'amazon', 'and', 'more']","['we', 'help', 'million', 'of', 'people', 'get', 'the', 'most', 'out', 'of', 'their', 'device', 'and', 'decide', 'which', 'one', 'be', 'worth', 'buying', 'we', 'cover', 'iphone', 'android', 'mac', 'pc', 'amazon', 'and', 'more']","['help', 'million', 'people', 'get', 'device', 'decide', 'one', 'worth', 'buying', 'cover', 'iphone', 'android', 'mac', 'pc', 'amazon']",,aman
"the hacker news is the most trusted, widely-read infosec source of the latest hacking news, cyber attacks, computer security, and cybersecurity for ethical hackers, penetration testers, and information technology professionals.","the hacker news is the most trusted, widely-read infosec source of the latest hacking news, cyber attacks, computer security, and cybersecurity for ethical hackers, penetration testers, and information technology professionals.","the hacker news is the most trusted, widely read infosec source of the latest hacking news, cyber attacks, computer security, and cybersecurity for ethical hackers, penetration testers, and information technology professionals.",the hacker news is the most trusted widely read infosec source of the latest hacking news cyber attacks computer security and cybersecurity for ethical hackers penetration testers and information technology professionals,"['the', 'hacker', 'news', 'is', 'the', 'most', 'trusted', 'widely', 'read', 'infosec', 'source', 'of', 'the', 'latest', 'hacking', 'news', 'cyber', 'attacks', 'computer', 'security', 'and', 'cybersecurity', 'for', 'ethical', 'hackers', 'penetration', 'testers', 'and', 'information', 'technology', 'professionals']","['the', 'hacker', 'news', 'be', 'the', 'most', 'trust', 'widely', 'read', 'infosec', 'source', 'of', 'the', 'late', 'hack', 'news', 'cyber', 'attack', 'computer', 'security', 'and', 'cybersecurity', 'for', 'ethical', 'hacker', 'penetration', 'tester', 'and', 'information', 'technology', 'professional']","['hacker', 'news', 'trust', 'widely', 'read', 'infosec', 'source', 'late', 'hack', 'news', 'cyber', 'attack', 'computer', 'security', 'cybersecurity', 'ethical', 'hacker', 'penetration', 'tester', 'information', 'technology', 'professional']",,aman
"large, searchable compilation of quotations arranged by topic. inspirational, thought-provoking, humorous, literary, and special occasion quotes.","large, searchable compilation of quotations arranged by topic. inspirational, thought-provoking, humorous, literary, and special occasion quotes.","large, searchable compilation of quotations arranged by topic. inspirational, thought provoking, humorous, literary, and special occasion quotes.",large searchable compilation of quotations arranged by topic inspirational thought provoking humorous literary and special occasion quotes,"['large', 'searchable', 'compilation', 'of', 'quotations', 'arranged', 'by', 'topic', 'inspirational', 'thought', 'provoking', 'humorous', 'literary', 'and', 'special', 'occasion', 'quotes']","['large', 'searchable', 'compilation', 'of', 'quotation', 'arrange', 'by', 'topic', 'inspirational', 'thought', 'provoke', 'humorous', 'literary', 'and', 'special', 'occasion', 'quote']","['large', 'searchable', 'compilation', 'quotation', 'arrange', 'topic', 'inspirational', 'thought', 'provoke', 'humorous', 'literary', 'special', 'occasion', 'quote']",,aman
"awe-inspiring science reporting, technology news, and diy projects. skunks to space robots, primates to climates. that's popular science, 145 years strong.","awe-inspiring science reporting, technology news, and diy projects. skunks to space robots, primates to climates. that's popular science,  years strong.","awe inspiring science reporting, technology news, and diy projects. skunks to space robots, primates to climates. that's popular science,  years strong.",awe inspiring science reporting technology news and diy projects skunks to space robots primates to climates that's popular science years strong,"['awe', 'inspiring', 'science', 'reporting', 'technology', 'news', 'and', 'diy', 'projects', 'skunks', 'to', 'space', 'robots', 'primates', 'to', 'climates', 'that', ""'s"", 'popular', 'science', 'years', 'strong']","['awe', 'inspire', 'science', 'reporting', 'technology', 'news', 'and', 'diy', 'project', 'skunk', 'to', 'space', 'robot', 'primate', 'to', 'climate', 'that', 's', 'popular', 'science', 'year', 'strong']","['awe', 'inspire', 'science', 'reporting', 'technology', 'news', 'diy', 'project', 'skunk', 'space', 'robot', 'primate', 'climate', 'popular', 'science', 'year', 'strong']",,aman
unsw is ranked 2nd in australia and 27th in the world for graduate employability. browse our range of study options and find the perfect one for you.,unsw is ranked nd in australia and th in the world for graduate employability. browse our range of study options and find the perfect one for you.,unsw is ranked nd in australia and th in the world for graduate employability. browse our range of study options and find the perfect one for you.,unsw is ranked nd in australia and th in the world for graduate employability browse our range of study options and find the perfect one for you,"['unsw', 'is', 'ranked', 'nd', 'in', 'australia', 'and', 'th', 'in', 'the', 'world', 'for', 'graduate', 'employability', 'browse', 'our', 'range', 'of', 'study', 'options', 'and', 'find', 'the', 'perfect', 'one', 'for', 'you']","['unsw', 'be', 'ranked', 'nd', 'in', 'australia', 'and', 'th', 'in', 'the', 'world', 'for', 'graduate', 'employability', 'browse', 'our', 'range', 'of', 'study', 'option', 'and', 'find', 'the', 'perfect', 'one', 'for', 'you']","['unsw', 'ranked', 'nd', 'australia', 'th', 'world', 'graduate', 'employability', 'browse', 'range', 'study', 'option', 'find', 'perfect', 'one']",,aman
"real, unfiltered guidance on applying to college and exploring majors and careers.","real, unfiltered guidance on applying to college and exploring majors and careers.","real, unfiltered guidance on applying to college and exploring majors and careers.",real unfiltered guidance on applying to college and exploring majors and careers,"['real', 'unfiltered', 'guidance', 'on', 'applying', 'to', 'college', 'and', 'exploring', 'majors', 'and', 'careers']","['real', 'unfiltered', 'guidance', 'on', 'apply', 'to', 'college', 'and', 'explore', 'major', 'and', 'career']","['real', 'unfiltered', 'guidance', 'apply', 'college', 'explore', 'major', 'career']",,aman
"the official bose website. learn about innovative solutions to help you feel more, do more and be more. shop for headphones, speakers, wearables and wellness products.","the official bose website. learn about innovative solutions to help you feel more, do more and be more. shop for headphones, speakers, wearables and wellness products.","the official bose website. learn about innovative solutions to help you feel more, do more and be more. shop for headphones, speakers, wearables and wellness products.",the official bose website learn about innovative solutions to help you feel more do more and be more shop for headphones speakers wearables and wellness products,"['the', 'official', 'bose', 'website', 'learn', 'about', 'innovative', 'solutions', 'to', 'help', 'you', 'feel', 'more', 'do', 'more', 'and', 'be', 'more', 'shop', 'for', 'headphones', 'speakers', 'wearables', 'and', 'wellness', 'products']","['the', 'official', 'bose', 'website', 'learn', 'about', 'innovative', 'solution', 'to', 'help', 'you', 'feel', 'more', 'do', 'more', 'and', 'be', 'more', 'shop', 'for', 'headphone', 'speaker', 'wearable', 'and', 'wellness', 'product']","['official', 'bose', 'website', 'learn', 'innovative', 'solution', 'help', 'feel', 'shop', 'headphone', 'speaker', 'wearable', 'wellness', 'product']",,aman
"slashgear covers technology, science, automotive, gaming, and entertainment, bringing thought-provoking and independent insight since 2005","slashgear covers technology, science, automotive, gaming, and entertainment, bringing thought-provoking and independent insight since ","slashgear covers technology, science, automotive, gaming, and entertainment, bringing thought provoking and independent insight since ",slashgear covers technology science automotive gaming and entertainment bringing thought provoking and independent insight since,"['slashgear', 'covers', 'technology', 'science', 'automotive', 'gaming', 'and', 'entertainment', 'bringing', 'thought', 'provoking', 'and', 'independent', 'insight', 'since']","['slashgear', 'cover', 'technology', 'science', 'automotive', 'game', 'and', 'entertainment', 'bring', 'thought', 'provoke', 'and', 'independent', 'insight', 'since']","['slashgear', 'cover', 'technology', 'science', 'automotive', 'game', 'entertainment', 'bring', 'thought', 'provoke', 'independent', 'insight', 'since']",,aman
science news and science articles from new scientist,science news and science articles from new scientist,science news and science articles from new scientist,science news and science articles from new scientist,"['science', 'news', 'and', 'science', 'articles', 'from', 'new', 'scientist']","['science', 'news', 'and', 'science', 'article', 'from', 'new', 'scientist']","['science', 'news', 'science', 'article', 'new', 'scientist']",,aman
apple ios os help | fix mac iphone ipad | buying tips | mac-forums,apple ios os help | fix mac iphone ipad | buying tips | mac-forums,apple ios os help | fix mac iphone ipad | buying tips | mac forums,apple ios os help fix mac iphone ipad buying tips mac forums,"['apple', 'ios', 'os', 'help', 'fix', 'mac', 'iphone', 'ipad', 'buying', 'tips', 'mac', 'forums']","['apple', 'io', 'o', 'help', 'fix', 'mac', 'iphone', 'ipad', 'buying', 'tip', 'mac', 'forum']","['apple', 'io', 'help', 'fix', 'mac', 'iphone', 'ipad', 'buying', 'tip', 'mac', 'forum']",,aman
"first published in 1869, nature is the world’s leading multidisciplinary science journal. nature publishes the finest peer-reviewed research that drives ground-breaking discovery, and is read by thought-leaders and decision-makers around the world.","first published in , nature is the world’s leading multidisciplinary science journal. nature publishes the finest peer-reviewed research that drives ground-breaking discovery, and is read by thought-leaders and decision-makers around the world.","first published in , nature is the world’s leading multidisciplinary science journal. nature publishes the finest peer reviewed research that drives ground breaking discovery, and is read by thought leaders and decision makers around the world.",first published in nature is the world’s leading multidisciplinary science journal nature publishes the finest peer reviewed research that drives ground breaking discovery and is read by thought leaders and decision makers around the world,"['first', 'published', 'in', 'nature', 'is', 'the', 'world', '’', 's', 'leading', 'multidisciplinary', 'science', 'journal', 'nature', 'publishes', 'the', 'finest', 'peer', 'reviewed', 'research', 'that', 'drives', 'ground', 'breaking', 'discovery', 'and', 'is', 'read', 'by', 'thought', 'leaders', 'and', 'decision', 'makers', 'around', 'the', 'world']","['first', 'publish', 'in', 'nature', 'be', 'the', 'world', '', 's', 'lead', 'multidisciplinary', 'science', 'journal', 'nature', 'publishes', 'the', 'fine', 'peer', 'review', 'research', 'that', 'drive', 'ground', 'break', 'discovery', 'and', 'be', 'read', 'by', 'thought', 'leader', 'and', 'decision', 'maker', 'around', 'the', 'world']","['first', 'publish', 'nature', 'world', '', 'lead', 'multidisciplinary', 'science', 'journal', 'nature', 'publishes', 'fine', 'peer', 'review', 'research', 'drive', 'ground', 'break', 'discovery', 'read', 'thought', 'leader', 'decision', 'maker', 'around', 'world']",,aman
