,url,description,title,url_file_type,description_p4,title_p4
270,https://www.betfair.com/sport/ice-hockey/russian-khl/hc-red-star-kunlun-v-severstal-cherepovets/31153918?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Ice Hockey with Betfair™ Sportsbook and browse Ice Hockey betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Ice Hockey Betting Odds,Ice Hockey Betting & Ice Hockey Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'ice', 'hockey', 'betfair', 'sportsbook', 'browse', 'ice', 'hockey', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'ice', 'hockey', 'bet', 'odds']","['ice', 'hockey', 'bet', 'ice', 'hockey', 'odds', 'online', '', 'betfair', 'sportsbook']"
271,https://www.betfair.com/sport/football/english-fa-cup/millwall-v-crystal-palace/31144152?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
272,https://www.betfair.com/sport/football/spanish-copa-del-rey/sporting-gijon-v-villarreal/31144639?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
273,https://www.betfair.com/sport/tennis/wta-melbourne-summer-set-1-2022/s-zhang-v-burel/31155538?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Tennis with Betfair™ Sportsbook and browse Tennis betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Tennis Betting Odds,Tennis Betting & Tennis Odds » Betfair™ Sportsbook,text/html,"['bet', 'tennis', 'betfair', 'sportsbook', 'browse', 'tennis', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'tennis', 'bet', 'odds']","['tennis', 'bet', 'tennis', 'odds', '', 'betfair', 'sportsbook']"
274,https://www.betfair.com/sport/table-tennis/moscow-liga-pro/viktor-rakhmanovskii-v-egor-evgenyevich-markelov/31157202?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Table Tennis with Betfair™ Sportsbook and browse Table Tennis betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Table Tennis Betting Odds,Table Tennis Betting & Table Tennis Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'table', 'tennis', 'betfair', 'sportsbook', 'browse', 'table', 'tennis', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'table', 'tennis', 'bet', 'odds']","['table', 'tennis', 'bet', 'table', 'tennis', 'odds', 'online', '', 'betfair', 'sportsbook']"
275,https://www.betfair.com/sport/american-football/nfl/indianapolis-colts-jacksonville-jaguars/31150470?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on American Football with Betfair™ Sportsbook and browse American Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓American Football Betting Odds,American Football Betting & American Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'american', 'football', 'betfair', 'sportsbook', 'browse', 'american', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'american', 'football', 'bet', 'odds']","['american', 'football', 'bet', 'american', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
276,https://www.betfair.com/sport/football/greek-super-league/panathinaikos-v-aris/31149841?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
277,https://www.betfair.com/sport/football/german-3-liga/tsv-havelse-v-duisburg/31138609?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
278,https://www.betfair.com/sport/basketball/ncaab/colorado-oregon/31156230?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Basketball with Betfair™ Sportsbook and browse Basketball betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Basketball Betting Odds,Basketball Betting & Basketball Odds » Betfair™ Sportsbook,text/html,"['bet', 'basketball', 'betfair', 'sportsbook', 'browse', 'basketball', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'basketball', 'bet', 'odds']","['basketball', 'bet', 'basketball', 'odds', '', 'betfair', 'sportsbook']"
279,https://www.betfair.com/sport/tennis/wta-melbourne-summer-set-2-2022/pegula-v-begu/31155664?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Tennis with Betfair™ Sportsbook and browse Tennis betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Tennis Betting Odds,Tennis Betting & Tennis Odds » Betfair™ Sportsbook,text/html,"['bet', 'tennis', 'betfair', 'sportsbook', 'browse', 'tennis', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'tennis', 'bet', 'odds']","['tennis', 'bet', 'tennis', 'odds', '', 'betfair', 'sportsbook']"
280,https://www.betfair.com/sport/football/russian-premier-league/sochi-v-arsenal-tula/31145368?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
281,https://www.betfair.com/sport/e-sports/csgo-weplay-academy-league/young-ninjas-v-astralis-talent/31151073?xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on E-sports with Betfair™ Sportsbook and browse E-sports betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓ E-sports Gambling,E-sports Betting & E-sports Odds » Betfair™ Sportsbook,text/html,"['bet', 'e', 'sport', 'betfair', 'sportsbook', 'browse', 'e', 'sport', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', '', 'e', 'sport', 'gamble']","['e', 'sport', 'bet', 'e', 'sport', 'odds', '', 'betfair', 'sportsbook']"
282,https://www.betfair.com/sport/football/spanish-la-liga/sevilla-v-getafe/31139590?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
283,https://www.betfair.com/sport/ice-hockey/russian-mhl/belye-medvedi-v-irbis-kazan/31154160?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Ice Hockey with Betfair™ Sportsbook and browse Ice Hockey betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Ice Hockey Betting Odds,Ice Hockey Betting & Ice Hockey Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'ice', 'hockey', 'betfair', 'sportsbook', 'browse', 'ice', 'hockey', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'ice', 'hockey', 'bet', 'odds']","['ice', 'hockey', 'bet', 'ice', 'hockey', 'odds', 'online', '', 'betfair', 'sportsbook']"
284,https://www.betfair.com/sport/ice-hockey,Bet on Ice Hockey with Betfair™ Sportsbook and browse Ice Hockey betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Ice Hockey Betting Odds,Ice Hockey Betting & Ice Hockey Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'ice', 'hockey', 'betfair', 'sportsbook', 'browse', 'ice', 'hockey', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'ice', 'hockey', 'bet', 'odds']","['ice', 'hockey', 'bet', 'ice', 'hockey', 'odds', 'online', '', 'betfair', 'sportsbook']"
285,https://www.betfair.com/sport/football/german-bundesliga/bochum-v-wolfsburg/31132281?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
286,https://www.betfair.com/sport/football/french-ligue-2/toulouse-v-pau/31147933?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
287,https://www.betfair.com/sport/tennis/wta-adelaide-international-1-2022/kenin-melichar-v-blinkova-eikeri/31155501?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Tennis with Betfair™ Sportsbook and browse Tennis betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Tennis Betting Odds,Tennis Betting & Tennis Odds » Betfair™ Sportsbook,text/html,"['bet', 'tennis', 'betfair', 'sportsbook', 'browse', 'tennis', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'tennis', 'bet', 'odds']","['tennis', 'bet', 'tennis', 'odds', '', 'betfair', 'sportsbook']"
289,https://www.betfair.com/sport/rugby-union/the-six-nations/ireland-v-wales/31086328?xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Rugby Union with Betfair™ Sportsbook and browse Rugby Union betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Rugby Union Betting Odds,Rugby Union Betting & Rugby Union Odds » Betfair™ Sportsbook,text/html,"['bet', 'rugby', 'union', 'betfair', 'sportsbook', 'browse', 'rugby', 'union', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'rugby', 'union', 'bet', 'odds']","['rugby', 'union', 'bet', 'rugby', 'union', 'odds', '', 'betfair', 'sportsbook']"
290,https://www.betfair.com/sport/basketball/nba/detroit-pistons-milwaukee-bucks/31153675?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Basketball with Betfair™ Sportsbook and browse Basketball betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Basketball Betting Odds,Basketball Betting & Basketball Odds » Betfair™ Sportsbook,text/html,"['bet', 'basketball', 'betfair', 'sportsbook', 'browse', 'basketball', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'basketball', 'bet', 'odds']","['basketball', 'bet', 'basketball', 'odds', '', 'betfair', 'sportsbook']"
295,https://www.betfair.com/sport/football/german-bundesliga/bochum-v-wolfsburg/31132281?selectedGroup=65921&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
296,https://www.betfair.com/sport/american-football/nfl/indianapolis-colts-jacksonville-jaguars/31150470?selectedGroup=-78637064&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on American Football with Betfair™ Sportsbook and browse American Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓American Football Betting Odds,American Football Betting & American Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'american', 'football', 'betfair', 'sportsbook', 'browse', 'american', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'american', 'football', 'bet', 'odds']","['american', 'football', 'bet', 'american', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
297,https://www.betfair.com/sport/ice-hockey/russian-mhl/belye-medvedi-v-irbis-kazan/31154160?selectedGroup=-78637064&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Ice Hockey with Betfair™ Sportsbook and browse Ice Hockey betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Ice Hockey Betting Odds,Ice Hockey Betting & Ice Hockey Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'ice', 'hockey', 'betfair', 'sportsbook', 'browse', 'ice', 'hockey', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'ice', 'hockey', 'bet', 'odds']","['ice', 'hockey', 'bet', 'ice', 'hockey', 'odds', 'online', '', 'betfair', 'sportsbook']"
299,https://www.betfair.com/sport/football/russian-premier-league/sochi-v-arsenal-tula/31145368?selectedGroup=65921&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
300,https://www.betfair.com/sport/football/german-3-liga/tsv-havelse-v-duisburg/31138609?selectedGroup=65921&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
301,https://www.betfair.com/sport/table-tennis/moscow-liga-pro/viktor-rakhmanovskii-v-egor-evgenyevich-markelov/31157202?selectedGroup=-78637064&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Table Tennis with Betfair™ Sportsbook and browse Table Tennis betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Table Tennis Betting Odds,Table Tennis Betting & Table Tennis Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'table', 'tennis', 'betfair', 'sportsbook', 'browse', 'table', 'tennis', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'table', 'tennis', 'bet', 'odds']","['table', 'tennis', 'bet', 'table', 'tennis', 'odds', 'online', '', 'betfair', 'sportsbook']"
302,https://www.betfair.com/sport/football/mexican-liga-mx/san-luis-v-pachuca/31143180?selectedGroup=65921&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
303,https://www.betfair.com/sport/football/french-ligue-2/toulouse-v-pau/31147933?selectedGroup=65921&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
304,https://www.betfair.com/sport/football/spanish-la-liga/sevilla-v-getafe/31139590?selectedGroup=65921&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
305,https://www.betfair.com/sport/basketball/nba/detroit-pistons-milwaukee-bucks/31153675?selectedGroup=-78637064&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Basketball with Betfair™ Sportsbook and browse Basketball betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Basketball Betting Odds,Basketball Betting & Basketball Odds » Betfair™ Sportsbook,text/html,"['bet', 'basketball', 'betfair', 'sportsbook', 'browse', 'basketball', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'basketball', 'bet', 'odds']","['basketball', 'bet', 'basketball', 'odds', '', 'betfair', 'sportsbook']"
306,https://www.betfair.com/sport/football/greek-super-league/panathinaikos-v-aris/31149841?selectedGroup=65921&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
308,https://www.betfair.com/sport/e-sports/csgo-weplay-academy-league/young-ninjas-v-astralis-talent/31151073?xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on E-sports with Betfair™ Sportsbook and browse E-sports betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓ E-sports Gambling,E-sports Betting & E-sports Odds » Betfair™ Sportsbook,text/html,"['bet', 'e', 'sport', 'betfair', 'sportsbook', 'browse', 'e', 'sport', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', '', 'e', 'sport', 'gamble']","['e', 'sport', 'bet', 'e', 'sport', 'odds', '', 'betfair', 'sportsbook']"
309,https://www.betfair.com/sport/rugby-union/the-six-nations/ireland-v-wales/31086328?xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Rugby Union with Betfair™ Sportsbook and browse Rugby Union betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Rugby Union Betting Odds,Rugby Union Betting & Rugby Union Odds » Betfair™ Sportsbook,text/html,"['bet', 'rugby', 'union', 'betfair', 'sportsbook', 'browse', 'rugby', 'union', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'rugby', 'union', 'bet', 'odds']","['rugby', 'union', 'bet', 'rugby', 'union', 'odds', '', 'betfair', 'sportsbook']"
310,https://www.betfair.com/sport/ice-hockey/russian-khl/hc-red-star-kunlun-v-severstal-cherepovets/31153918?selectedGroup=-78637064&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Ice Hockey with Betfair™ Sportsbook and browse Ice Hockey betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Ice Hockey Betting Odds,Ice Hockey Betting & Ice Hockey Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'ice', 'hockey', 'betfair', 'sportsbook', 'browse', 'ice', 'hockey', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'ice', 'hockey', 'bet', 'odds']","['ice', 'hockey', 'bet', 'ice', 'hockey', 'odds', 'online', '', 'betfair', 'sportsbook']"
311,https://www.betfair.com/sport/tennis/wta-melbourne-summer-set-2-2022/pegula-v-begu/31155664?selectedGroup=-78637064&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Tennis with Betfair™ Sportsbook and browse Tennis betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Tennis Betting Odds,Tennis Betting & Tennis Odds » Betfair™ Sportsbook,text/html,"['bet', 'tennis', 'betfair', 'sportsbook', 'browse', 'tennis', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'tennis', 'bet', 'odds']","['tennis', 'bet', 'tennis', 'odds', '', 'betfair', 'sportsbook']"
